Date,Time,Otters,hSeals,eSeals
12/24/03,845,1,67,0
12/25/03,815,1,1,0
12/26/03,745,2,5,0
12/27/03,900,0,135,0
12/28/03,845,0,53,0
12/29/03,1245,2,1,0
12/30/03,1050,1,131,0
12/31/03,740,0,92,0
1/1/04,1015,0,12,0
1/2/04,940,3,153,0
1/3/04,900,0,133,0
1/4/04,840,0,7,0
1/11/04,800,2,120,0
1/12/04,750,2,114,0
1/13/04,800,4,85,0
1/14/04,800,4,40,0
1/15/04,815,2,65,0
1/16/04,1015,2,105,0
1/17/04,715,2,52,0
1/18/04,745,2,88,0
1/19/04,730,1,24,0
1/20/04,830,1,81,0
1/21/04,730,1,27,0
1/22/04,800,4,40,0
1/24/04,900,1,55,0
1/25/04,815,2,27,0
1/26/04,845,3,33,0
1/27/04,750,5,22,0
1/29/04,740,3,36,0
1/30/04,845,3,76,0
1/31/04,730,1,56,0
2/1/04,730,0,52,0
2/2/04,830,3,7,0
2/3/04,745,3,10,0
2/4/04,800,0,90,0
2/5/04,800,0,29,0
2/6/04,740,4,84,0
2/7/04,815,5,92,0
2/8/04,800,2,37,0
2/9/04,800,2,32,0
2/10/04,815,3,24,0
2/11/04,810,4,31,0
2/12/04,800,6,35,0
2/13/04,830,8,20,0
2/14/04,850,5,82,0
2/15/04,745,1,51,0
2/16/04,750,4,3,0
2/17/04,745,1,61,0
2/18/04,800,1,12,0
2/20/04,815,1,25,0
2/21/04,715,3,63,0
2/22/04,745,8,37,0
2/23/04,730,7,77,0
2/24/04,915,4,3,0
2/25/04,820,0,5,0
2/26/04,745,0,32,0
2/27/04,1020,2,168,0
2/28/04,900,0,178,0
2/29/04,810,5,218,0
3/1/04,800,8,75,0
3/2/04,750,1,128,0
3/3/04,800,4,65,0
3/4/04,830,1,112,0
3/5/04,830,5,61,0
3/6/04,750,5,64,0
3/7/04,930,4,39,0
3/8/04,815,0,13,0
3/9/04,820,6,51,0
3/10/04,815,4,48,0
3/11/04,825,0,36,0
3/12/04,815,0,32,0
3/13/04,815,0,108,0
3/14/04,830,3,68,0
3/15/04,845,7,53,0
3/16/04,845,5,33,0
3/17/04,820,4,2,0
3/19/04,820,4,24,0
3/20/04,810,3,86,0
3/21/04,815,5,24,0
3/22/04,800,0,12,0
3/23/04,750,2,57,0
3/24/04,800,1,7,0
3/25/04,730,4,132,0
3/26/04,815,4,23,0
3/27/04,1120,2,21,0
3/28/04,1530,2,0,0
3/29/04,640,3,73,0
3/30/04,815,3,8,0
3/31/04,815,4,126,0
4/1/04,745,8,22,0
4/2/04,745,2,6,0
4/3/04,810,4,8,0
4/4/04,850,0,5,0
4/5/04,840,1,58,0
4/6/04,810,1,6,0
4/7/04,715,2,16,0
4/8/04,1200,0,60,0
4/9/04,915,0,3,0
4/10/04,915,0,2,0
4/12/04,915,3,8,0
4/14/04,850,1,25,0
4/15/04,720,0,25,0
4/17/04,750,0,25,0
4/18/04,800,1,13,0
4/19/04,800,0,27,0
4/20/04,820,1,15,0
4/21/04,740,2,28,0
4/23/04,810,2,41,0
4/24/04,1315,1,56,0
4/25/04,740,0,37,0
4/26/04,730,4,65,0
4/28/04,750,5,42,0
4/29/04,750,4,41,0
4/30/04,810,2,48,0
5/1/04,900,1,52,0
5/2/04,745,1,48,0
5/3/04,850,4,91,0
5/4/04,810,1,78,0
5/5/04,740,4,21,0
5/6/04,840,6,4,0
5/7/04,745,1,35,0
5/8/04,810,2,23,0
5/9/04,810,4,66,0
5/10/04,800,0,17,0
5/11/04,750,0,44,0
5/12/04,720,2,48,0
5/13/04,820,5,81,0
5/14/04,740,1,33,0
5/15/04,740,3,32,0
5/16/04,815,2,33,0
5/17/04,700,2,36,0
5/18/04,740,5,52,0
5/19/04,800,3,14,0
5/22/04,730,0,51,0
5/23/04,815,3,60,0
5/24/04,805,4,62,0
5/25/04,725,3,42,0
5/26/04,815,4,28,0
5/27/04,800,3,57,0
5/28/04,715,0,41,0
5/29/04,1040,2,96,0
5/30/04,735,4,66,0
7/8/04,715,0,109,0
7/10/04,645,2,152,0
7/11/04,850,0,138,0
7/12/04,750,2,21,0
7/13/04,750,8,6,0
7/14/04,710,1,6,0
7/15/04,700,1,15,0
7/16/04,645,0,16,0
7/17/04,745,0,0,0
7/18/04,1015,0,1,0
7/19/04,650,0,13,0
7/20/04,,0,0,0
7/21/04,830,0,6,0
7/22/04,830,3,3,0
7/23/04,700,2,1,0
7/24/04,730,2,51,0
7/25/04,840,0,4,0
7/26/04,715,4,4,0
7/27/04,810,3,4,0
7/28/04,830,3,6,0
7/29/04,730,3,8,0
7/30/04,845,1,5,0
7/31/04,745,2,1,0
8/1/04,800,2,26,0
8/2/04,750,0,14,0
8/3/04,815,1,17,0
8/5/04,830,0,20,0
8/6/04,820,1,8,0
8/8/04,800,0,1,0
8/9/04,850,0,0,0
8/10/04,900,0,1,0
8/11/04,730,0,0,0
8/12/04,800,2,6,0
8/13/04,830,7,1,0
8/14/04,900,3,2,0
8/15/04,725,5,23,0
8/16/04,800,0,15,0
8/17/04,715,3,21,0
8/18/04,740,0,1,0
8/19/04,740,2,12,0
8/20/04,945,4,1,0
8/21/04,800,5,4,0
8/22/04,830,5,5,0
8/23/04,705,3,3,0
8/24/04,800,2,1,0
8/25/04,800,4,0,0
8/26/04,745,0,2,0
8/27/04,730,2,40,0
8/28/04,710,4,2,0
9/1/04,830,2,18,0
9/2/04,730,5,4,0
9/3/04,745,0,88,0
9/4/04,850,4,20,0
9/5/04,840,0,2,0
9/6/04,800,0,2,0
9/7/04,740,1,18,0
9/8/04,730,3,11,0
9/9/04,740,6,2,0
9/10/04,800,4,23,0
9/11/04,730,0,3,0
9/12/04,900,2,0,0
9/13/04,820,0,5,0
9/14/04,810,0,19,0
9/15/04,750,1,52,0
9/16/04,800,0,80,0
9/17/04,845,0,29,0
9/18/04,745,2,11,0
9/19/04,830,2,36,0
9/20/04,730,3,95,0
9/21/04,750,0,15,0
9/22/04,820,0,19,0
9/23/04,820,1,10,0
9/24/04,840,0,6,0
9/25/04,820,2,19,0
9/27/04,745,4,5,0
9/28/04,815,5,0,0
9/29/04,750,5,5,0
9/30/04,850,1,48,0
10/1/04,800,1,39,0
10/3/04,835,3,1,0
10/4/04,745,3,18,0
10/5/04,735,4,0,0
10/8/04,730,2,70,0
10/9/04,850,0,24,0
10/10/04,930,0,55,0
10/11/04,900,2,11,0
10/12/04,820,0,69,0
10/13/04,830,1,18,0
10/14/04,1000,1,0,0
10/15/04,805,5,17,0
10/16/04,800,1,86,0
10/17/04,800,0,51,0
10/18/04,830,1,99,0
10/19/04,945,3,2,0
10/20/04,820,0,148,0
10/21/04,810,3,107,0
10/22/04,820,3,55,0
10/23/04,805,2,88,0
10/24/04,850,2,92,0
10/25/04,910,1,105,0
10/26/04,840,5,4,0
10/27/04,845,3,70,0
10/28/04,840,0,82,0
10/29/04,915,4,71,0
10/30/04,930,3,65,0
10/31/04,755,5,108,0
11/1/04,740,0,28,0
11/2/04,750,4,100,0
11/3/04,1015,2,48,0
11/4/04,750,2,119,0
11/5/04,720,3,121,0
11/8/04,700,1,34,0
11/9/04,810,4,56,1
11/10/04,735,2,13,1
11/11/04,735,5,48,1
11/13/04,835,3,61,2
11/14/04,745,0,122,0
11/15/04,810,2,142,0
11/16/04,720,4,64,0
11/18/04,1000,3,76,0
11/19/04,825,3,108,0
11/20/04,750,2,68,0
11/21/04,900,1,38,0
11/22/04,810,3,50,0
11/23/04,840,1,22,0
11/25/04,820,2,57,0
11/26/04,850,0,58,1
11/27/04,830,1,5,1
11/28/04,740,2,38,3
11/29/04,1155,0,73,3
11/30/04,755,1,18,3
12/1/04,830,4,37,8
12/2/04,745,1,62,7
12/3/04,830,3,37,8
12/4/04,810,3,36,8
12/5/04,800,6,52,10
12/6/04,800,3,56,8
12/7/04,800,5,13,8
12/8/04,850,7,50,8
12/9/04,800,1,79,7
12/10/04,720,1,38,7
12/13/04,820,8,38,5
12/14/04,900,2,11,4
12/15/04,800,2,53,3
12/16/04,810,2,28,3
12/17/04,800,0,10,5
12/19/04,815,5,7,1
12/20/04,825,5,28,2
12/21/04,825,2,37,2
12/22/04,815,4,33,3
12/23/04,850,6,33,1
12/24/04,800,1,25,1
12/25/04,845,4,29,1
12/26/04,815,1,39,1
12/27/04,840,5,28,1
12/28/04,850,3,94,1
12/29/04,800,5,53,2
12/30/04,830,7,8,0
12/31/04,815,6,61,0
1/9/05,915,4,86,0
1/10/05,850,7,75,0
1/11/05,750,7,18,0
1/12/05,750,9,112,0
1/13/05,800,4,29,0
1/14/05,750,5,19,0
1/15/05,845,11,22,0
2/1/05,900,5,49,0
2/2/05,800,2,51,0
2/3/05,1200,2,73,0
2/4/05,810,5,14,0
2/5/05,835,5,58,0
2/6/05,930,7,96,0
2/7/05,900,4,26,0
2/15/05,815,4,25,0
2/16/05,740,10,179,0
2/17/05,840,5,119,0
2/18/05,845,6,190,0
2/19/05,910,6,121,0
2/20/05,845,11,129,0
2/21/05,845,7,31,0
2/22/05,810,6,125,0
2/23/05,915,4,27,0
2/24/05,1300,9,135,0
2/25/05,1400,9,141,0
2/26/05,825,4,67,0
2/27/05,815,2,29,0
2/28/05,750,4,112,0
3/1/05,800,4,120,0
3/2/05,800,4,120,0
3/7/05,915,4,150,0
3/8/05,920,4,82,0
3/9/05,850,4,45,0
3/10/05,1140,3,123,0
3/11/05,745,8,22,0
3/12/05,800,7,18,0
3/13/05,1030,6,46,0
3/14/05,800,2,8,0
3/15/05,820,5,23,0
3/16/05,825,6,23,0
3/17/05,840,7,25,0
3/18/05,800,5,23,0
3/19/05,820,6,25,0
3/20/05,845,10,139,0
3/21/05,810,13,94,0
3/22/05,800,11,10,0
3/23/05,900,7,125,0
3/24/05,810,8,114,0
3/25/05,800,10,59,0
3/26/05,850,12,14,1
3/27/05,810,9,31,0
3/28/05,1250,7,80,1
3/29/05,830,7,17,1
3/30/05,740,6,95,1
3/31/05,840,2,39,0
4/1/05,730,7,40,1
4/2/05,755,6,87,1
4/3/05,815,10,68,1
4/4/05,805,0,45,1
4/5/05,815,6,28,1
4/6/05,940,7,8,1
4/7/05,810,3,45,2
4/8/05,900,5,71,3
4/9/05,940,0,46,0
4/10/05,900,1,54,0
4/11/05,1130,9,27,2
4/12/05,855,0,18,2
4/13/05,900,5,16,1
4/14/05,845,8,46,1
4/15/05,1015,2,37,1
4/18/05,1000,9,59,1
4/21/05,820,4,17,1
4/22/05,730,6,41,1
4/23/05,800,4,39,1
4/24/05,1030,6,61,1
4/25/05,830,0,34,0
4/26/05,820,0,31,1
4/28/05,905,0,34,0
4/29/05,830,0,38,0
4/30/05,845,1,33,0
5/1/05,900,5,45,0
5/2/05,740,7,48,1
5/3/05,1040,5,78,0
5/4/05,800,3,40,0
5/5/05,830,7,63,0
5/6/05,825,2,67,0
5/7/05,715,2,54,1
5/8/05,945,3,16,0
5/9/05,940,2,31,0
5/10/05,745,0,29,0
5/11/05,1010,4,25,0
5/12/05,800,4,48,0
5/13/05,940,1,36,0
5/14/05,730,9,44,0
5/15/05,810,2,37,0
5/16/05,910,8,74,0
5/17/05,835,8,80,0
5/18/05,1000,8,76,0
5/19/05,810,7,64,0
5/20/05,745,5,87,0
5/21/05,1350,5,116,0
5/22/05,830,5,37,0
5/23/05,1045,3,60,0
5/24/05,805,2,42,0
5/25/05,940,5,19,0
5/26/05,830,2,32,0
5/28/05,945,5,37,0
5/29/05,1000,8,41,0
5/30/05,1200,6,50,0
6/1/05,840,6,142,0
6/3/05,820,2,123,0
6/4/05,800,3,45,0
6/7/05,800,1,21,0
6/8/05,730,7,60,0
6/11/05,850,1,87,0
6/12/05,1030,3,3,0
6/13/05,845,5,88,0
6/14/05,830,2,124,0
6/16/05,745,2,67,0
6/17/05,710,2,103,0
6/18/05,825,2,117,0
6/19/05,1000,1,91,0
6/20/05,1015,5,76,0
6/21/05,830,5,24,0
6/22/05,1020,0,11,0
6/26/05,1040,4,32,0
6/27/05,730,1,25,0
6/28/05,730,0,119,0
6/29/05,810,0,70,0
6/30/05,810,1,114,0
7/2/05,1100,2,128,0
7/3/05,900,5,95,1
7/4/05,820,1,47,0
7/5/05,740,2,48,1
7/6/05,1030,2,37,0
7/9/05,1020,1,28,1
7/10/05,2030,1,0,1
7/11/05,1310,2,9,1
7/12/05,1545,1,163,0
7/13/05,920,2,162,1
7/14/05,830,2,173,0
7/15/05,915,2,130,0
7/16/05,900,0,78,0
7/30/05,930,3,8,0
7/31/05,1015,2,5,0
8/1/05,830,0,5,0
8/2/05,830,0,7,0
8/3/05,1015,3,5,0
8/4/05,930,2,9,0
8/6/05,1045,3,8,0
8/7/05,1000,4,4,0
8/8/05,950,3,17,0
8/9/05,1030,6,15,0
8/12/05,930,8,15,0
8/13/05,940,5,4,0
8/14/05,915,5,8,0
8/15/05,945,6,2,0
8/16/05,1300,7,8,1
8/17/05,1000,2,7,0
8/18/05,1030,1,9,0
8/19/05,850,4,15,0
8/20/05,1220,4,9,0
8/21/05,920,4,12,0
8/23/05,910,4,54,1
8/24/05,1210,1,138,1
8/25/05,700,4,2,0
8/26/05,915,0,10,0
9/5/05,850,3,3,1
9/6/05,1045,7,1,0
9/9/05,1000,5,64,0
9/10/05,755,1,66,1
9/11/05,800,2,60,1
9/12/05,900,2,59,2
9/13/05,1020,4,1,1
9/14/05,1000,7,3,0
9/15/05,1035,5,5,2
9/16/05,1050,3,127,2
9/17/05,740,5,5,0
9/18/05,1040,1,13,2
9/19/05,830,2,8,0
9/20/05,1020,1,5,0
9/21/05,815,3,86,1
9/22/05,1200,5,12,2
9/23/05,830,1,102,1
9/24/05,855,1,95,1
9/25/05,1025,0,118,2
9/26/05,920,3,34,1
9/27/05,845,4,34,1
9/28/05,1000,0,0,2
9/29/05,1050,4,1,3
9/30/05,830,4,33,0
10/2/05,820,1,76,0
10/3/05,930,0,52,0
10/4/05,1010,2,40,0
10/5/05,750,0,51,0
10/7/05,1610,3,33,0
10/8/05,900,1,158,0
10/9/05,1100,1,6,0
10/10/05,1230,2,48,0
10/11/05,1120,3,17,0
10/14/05,820,0,33,0
10/15/05,845,1,25,0
10/23/05,945,0,56,0
10/24/05,1330,0,62,0
10/25/05,1015,1,22,1
10/26/05,1115,1,28,0
10/27/05,1150,1,83,0
10/28/05,1715,0,0,0
10/29/05,910,2,78,0
10/30/05,810,1,57,0
11/2/05,850,0,56,0
11/3/05,800,0,35,0
11/4/05,920,0,53,0
11/5/05,1030,1,49,0
11/6/05,1000,4,52,0
11/7/05,1000,3,58,0
11/8/05,1015,0,89,0
11/10/05,1050,0,11,0
11/11/05,1545,4,1,0
11/12/05,845,1,75,0
11/13/05,1130,2,144,0
11/14/05,1030,0,38,0
11/16/05,800,1,24,0
11/17/05,1250,1,33,0
11/18/05,1515,2,2,0
11/21/05,1050,4,73,0
11/22/05,1200,0,80,0
11/23/05,940,4,18,2
11/24/05,820,4,47,2
11/25/05,910,3,33,6
11/26/05,905,4,146,3
11/27/05,1200,2,56,2
11/28/05,900,2,30,2
12/2/05,930,0,127,0
12/3/05,1410,3,117,0
12/4/05,940,2,51,1
12/5/05,900,1,42,0
12/6/05,800,3,38,0
12/8/05,1130,2,7,1
12/10/05,1100,0,52,2
12/11/05,915,0,123,2
12/12/05,1420,3,110,2
12/13/05,1040,3,83,2
12/14/05,1000,7,119,0
12/15/05,925,2,67,1
12/16/05,940,1,54,2
12/17/05,900,4,72,2
12/18/05,925,6,9,1
12/19/05,845,3,134,1
12/20/05,905,2,115,1
12/21/05,945,2,131,2
12/22/05,815,3,101,3
12/23/05,1410,1,140,3
12/24/05,1320,1,110,3
12/26/05,1330,3,108,0
12/27/05,1050,1,127,2
12/28/05,905,6,12,1
12/29/05,900,1,103,1
12/30/05,1600,1,70,2
12/31/05,1000,2,14,0
1/1/06,1050,5,7,1
1/2/06,945,1,37,1
1/3/06,900,5,222,2
1/13/06,1100,2,83,0
1/14/06,900,1,8,0
1/15/06,945,2,91,0
1/16/06,1130,2,115,0
1/17/06,820,5,46,0
1/18/06,1245,1,77,0
1/19/06,1015,1,119,0
1/20/06,1125,1,72,0
1/21/06,1100,5,19,0
1/22/06,1040,1,32,0
1/23/06,1430,0,71,0
1/24/06,1015,2,22,0
1/25/06,730,2,7,0
1/26/06,1705,0,71,0
1/27/06,910,0,58,0
1/28/06,1010,2,52,0
1/29/06,820,4,65,0
1/30/06,840,0,73,0
1/31/06,800,0,54,0
2/3/06,1000,4,62,0
2/4/06,1145,1,33,0
2/5/06,940,2,63,0
2/6/06,1220,0,30,0
2/8/06,900,1,97,0
2/9/06,915,1,12,0
2/11/06,1020,1,21,0
2/12/06,930,0,73,0
2/13/06,1030,0,91,0
2/14/06,1500,2,132,2
2/15/06,1055,3,115,0
2/16/06,925,3,45,0
2/17/06,840,2,3,0
2/18/06,930,2,3,0
2/19/06,930,0,1,0
2/20/06,840,0,23,0
2/22/06,1030,2,20,0
2/25/06,840,4,3,0
2/26/06,1050,4,21,0
2/27/06,840,5,12,0
3/2/06,1215,2,110,1
3/3/06,1040,1,158,0
3/4/06,1240,5,73,0
3/5/06,900,2,30,0
3/6/06,1740,2,165,0
3/7/06,900,3,60,0
3/8/06,910,3,15,0
3/9/06,1311,2,4,0
3/10/06,930,0,105,0
3/12/06,1035,0,57,0
3/13/06,1420,3,78,0
3/15/06,950,0,85,0
3/16/06,1230,1,101,0
3/17/06,1135,2,106,0
3/18/06,1140,2,113,0
3/19/06,1010,2,28,0
3/20/06,820,0,39,0
3/21/06,920,1,89,0
3/22/06,1130,0,54,0
3/23/06,925,1,46,0
4/5/06,845,0,117,0
4/6/06,1400,1,46,0
4/7/06,830,3,75,0
4/8/06,750,2,75,0
4/9/06,1000,2,65,0
4/10/06,945,2,39,2
4/11/06,800,7,30,1
4/24/06,930,1,44,1
4/26/06,950,2,41,3
4/27/06,940,0,99,0
4/28/06,1045,0,54,3
4/29/06,1230,0,69,2
4/30/06,1500,2,117,3
5/1/06,1500,2,127,3
5/2/06,1530,0,112,2
5/4/06,1830,0,84,3
5/5/06,1500,1,35,2
5/7/06,930,0,79,3
5/8/06,845,0,60,3
5/22/06,1000,1,93,0
5/23/06,915,2,36,0
5/24/06,1130,0,93,1
5/25/06,830,0,34,0
5/26/06,1730,1,142,0
5/27/06,1155,0,56,0
5/29/06,1710,0,96,0
5/30/06,1320,0,80,0
5/31/06,1910,0,106,0
6/1/06,730,0,65,0
6/3/06,920,0,84,0
6/4/06,1420,0,24,0
6/5/06,1520,1,86,0
6/6/06,1826,1,79,0
6/7/06,1215,1,69,0
6/8/06,1440,0,95,0
6/9/06,1150,0,93,0
6/13/06,1700,0,54,0
6/14/06,1350,0,79,0
6/15/06,915,1,40,0
6/16/06,1805,0,27,0
6/17/06,1230,0,58,0
6/18/06,1235,0,64,0
6/19/06,730,1,144,0
6/20/06,920,1,112,0
6/21/06,1755,0,113,0
6/22/06,1305,1,98,0
6/23/06,1415,0,85,0
6/24/06,1415,1,81,0
6/25/06,940,0,9,0
6/26/06,1015,1,14,0
6/27/06,1020,0,44,0
6/30/06,930,2,96,0
7/1/06,1130,1,58,0
7/2/06,750,2,90,0
7/4/06,1400,2,9,0
7/5/06,1300,3,24,0
7/6/06,900,3,79,0
7/8/06,1850,1,15,0
7/10/06,1655,3,26,0
7/14/06,1800,3,45,0
7/15/06,1340,6,27,0
7/16/06,1420,1,53,0
7/17/06,1100,1,66,0
7/18/06,1640,2,58,0
7/19/06,920,3,98,0
7/20/06,745,4,63,0
7/21/06,930,1,5,0
7/23/06,1045,2,68,0
7/24/06,925,3,8,0
7/25/06,1330,0,8,0
7/26/06,1805,2,47,0
7/27/06,2015,2,16,0
7/28/06,1900,1,5,0
7/29/06,1115,1,36,0
7/30/06,900,0,24,0
7/31/06,1800,0,7,0
8/16/06,1030,3,5,0
8/17/06,1010,0,3,0
8/18/06,1220,4,9,0
8/19/06,1700,3,4,0
8/20/06,910,1,5,0
8/22/06,1110,0,2,0
8/23/06,1255,0,3,0
8/24/06,945,3,1,0
8/25/06,800,0,1,1
8/26/06,910,0,32,1
8/29/06,930,0,2,0
8/30/06,1100,1,15,0
9/2/06,915,1,9,0
9/3/06,1200,1,2,0
9/4/06,1400,0,0,0
9/5/06,1850,0,2,0
9/7/06,1125,1,5,0
9/8/06,800,3,3,0
9/9/06,1040,2,16,0
9/10/06,1200,1,15,1
9/12/06,1000,1,0,1
9/13/06,740,1,21,1
9/14/06,925,2,67,2
9/15/06,1025,0,85,0
9/17/06,1850,1,41,1
9/18/06,1840,3,2,0
9/19/06,945,2,32,2
9/20/06,940,2,16,2
9/21/06,1145,1,53,1
9/22/06,1135,0,29,2
9/23/06,945,0,53,2
9/24/06,825,1,40,1
10/2/06,1545,0,55,0
10/3/06,1430,0,30,0
10/4/06,920,3,23,0
10/5/06,950,2,21,2
10/6/06,810,0,49,2
10/7/06,1315,0,7,0
10/8/06,1105,2,17,2
10/9/06,1140,3,33,2
10/11/06,1435,5,36,1
10/12/06,1105,5,73,2
10/13/06,935,5,19,3
10/15/06,1210,2,9,3
10/16/06,945,0,26,2
10/17/06,845,1,65,4
10/18/06,1105,1,39,2
10/19/06,1115,5,30,1
10/23/06,1455,1,77,3
10/24/06,1010,1,51,3
10/26/06,1140,0,44,2
10/27/06,1120,2,11,1
10/28/06,845,3,75,2
10/29/06,900,2,72,2
10/30/06,1000,2,56,2
10/31/06,1605,2,34,3
11/1/06,1040,4,44,2
11/3/06,1145,3,17,2
11/4/06,1200,3,65,6
11/5/06,730,4,30,4
11/6/06,1235,4,3,5
11/7/06,1520,2,87,5
11/8/06,945,1,58,5
11/9/06,1330,1,75,5
11/10/06,1325,4,55,3
11/11/06,1100,0,19,3
11/12/06,1330,1,96,4
11/13/06,1550,1,20,4
11/14/06,1710,2,69,2
11/15/06,935,1,80,2
11/16/06,1010,1,43,1
11/17/06,1450,0,33,8
11/18/06,1045,1,94,10
11/19/06,715,2,5,9
11/21/06,1500,3,48,0
11/22/06,1345,3,77,5
11/23/06,1015,2,79,7
11/24/06,1200,1,57,4
11/25/06,1045,1,23,2
11/26/06,930,0,19,1
11/27/06,730,1,43,0
11/28/06,910,0,65,1
11/29/06,1100,1,124,2
11/30/06,835,2,7,0
12/1/06,1715,0,0,0
12/2/06,750,0,22,0
12/3/06,750,4,5,0
12/4/06,850,2,33,3
12/5/06,920,5,45,1
12/6/06,1250,2,170,0
12/7/06,1110,1,98,1
12/10/06,800,1,10,2
12/11/06,945,3,147,0
12/14/06,1240,3,400,0
12/15/06,1550,3,126,0
12/16/06,1010,7,159,0
12/17/06,1500,4,172,0
12/18/06,945,8,49,1
12/19/06,945,8,54,0
12/20/06,1340,8,115,0
12/21/06,1115,6,88,1
12/22/06,1650,1,180,0
12/23/06,910,6,101,0
12/24/06,1025,6,97,0
12/26/06,1720,0,15,0
12/27/06,920,0,0,1
12/28/06,1030,0,179,2
12/29/06,1220,3,50,1
12/30/06,1450,5,51,1
12/31/06,1230,3,122,0
1/1/07,945,7,66,1
1/13/07,1135,0,144,2
1/14/07,1100,4,124,1
1/15/07,845,5,86,0
1/17/07,1450,0,137,0
1/18/07,925,3,84,0
1/20/07,1340,3,192,0
1/21/07,1130,2,99,0
1/22/07,1100,0,40,0
1/23/07,1200,1,81,0
1/24/07,1015,1,58,0
1/25/07,950,0,67,0
1/26/07,1525,4,31,0
1/27/07,850,4,91,0
1/28/07,910,6,28,0
1/29/07,1240,6,131,0
1/30/07,1550,3,107,0
1/31/07,1040,3,11,0
2/1/07,1020,12,80,0
2/2/07,1730,0,85,0
2/3/07,1000,5,18,0
2/4/07,935,6,31,1
2/5/07,1200,7,13,1
2/6/07,930,3,5,0
2/7/07,1400,3,27,0
2/8/07,930,3,31,0
2/9/07,1445,2,69,0
2/10/07,1700,0,4,0
2/11/07,1625,0,103,0
2/12/07,1300,0,108,0
2/13/07,810,5,40,0
2/14/07,1320,0,123,0
2/16/07,945,2,31,0
2/17/07,1035,5,13,0
2/18/07,1215,7,39,0
2/19/07,845,2,29,0
2/20/07,1800,0,60,0
2/21/07,1720,1,84,0
2/22/07,945,0,7,0
2/23/07,1425,2,47,0
2/24/07,1115,1,31,0
2/25/07,1230,0,2,0
2/26/07,710,3,37,0
3/1/07,1525,0,112,0
3/2/07,905,2,23,0
3/3/07,1625,1,32,0
3/4/07,1000,7,25,0
3/5/07,1200,0,29,0
3/7/07,,3,4,0
3/8/07,730,0,1,0
3/10/07,925,2,14,0
3/11/07,1200,0,20,1
3/12/07,1350,1,35,0
3/13/07,1755,3,41,0
3/14/07,1430,0,16,0
3/15/07,815,2,16,0
3/16/07,850,4,10,1
3/18/07,1345,2,70,1
3/19/07,1130,7,31,0
3/21/07,1250,1,102,0
3/22/07,820,5,39,0
3/23/07,730,2,4,1
3/24/07,945,4,37,1
3/25/07,1350,2,46,0
3/26/07,1315,2,58,0
3/27/07,1350,0,86,0
3/29/07,1600,3,59,1
3/30/07,910,3,8,1
3/31/07,1030,4,33,1
4/1/07,1120,3,62,2
4/2/07,1705,6,131,1
4/3/07,1350,6,135,0
4/4/07,1400,11,73,1
4/5/07,1800,5,29,1
4/6/07,1850,2,111,1
4/7/07,840,5,56,1
4/8/07,935,5,61,1
4/9/07,1055,4,37,1
4/10/07,1105,5,83,2
4/11/07,800,5,31,2
4/12/07,1315,5,62,1
4/13/07,1825,6,66,2
4/14/07,1200,7,28,2
4/15/07,1505,7,168,3
4/16/07,1025,8,93,3
4/17/07,1310,3,122,2
4/19/07,800,5,38,2
4/20/07,830,4,32,3
4/21/07,815,3,46,2
4/22/07,830,6,32,3
4/23/07,1730,5,133,2
4/25/07,1840,7,107,3
4/26/07,1400,5,132,4
